cadet_id,invoiced_amount,paid_amount,outstanding_amount,last_payment_date
C001,212471,191223,21248,2026-03-07
C002,263703,184592,79111,2026-03-03
C003,258387,206709,51678,2026-04-20
C004,147793,118234,29559,2026-01-13
C005,198111,99055,99056,2026-03-14
C006,128636,128636,0,2026-04-20
C007,221372,221372,0,2026-05-02
C008,74510,59608,14902,2026-02-02
C009,148872,133984,14888,2026-01-09
C010,64710,64710,0,2026-05-08
C011,234246,117123,117123,2026-04-19
C012,181034,144827,36207,2025-11-26
C013,255619,178933,76686,2025-12-17
C014,274909,82472,192437,2025-12-26
C015,290950,87285,203665,2026-03-13
C016,105421,105421,0,2025-12-16
C017,174649,122254,52395,2026-04-29
C018,292262,87678,204584,2025-11-16
C019,292636,204845,87791,2025-12-22
C020,197720,197720,0,2026-05-02
C021,97016,67911,29105,2026-05-06
C022,104305,93874,10431,2026-04-04
C023,247198,247198,0,2026-01-29
C024,293498,88049,205449,2026-02-23
C025,92585,83326,9259,2026-03-10
C026,198555,158844,39711,2025-11-18
C027,285018,256516,28502,2026-02-15
C028,150622,150622,0,2026-04-05
C029,257224,257224,0,2026-04-20
C030,181279,181279,0,2026-02-11
