sortie_id,cadet_id,instructor_id,aircraft_id,base_id,scheduled_start,scheduled_end,actual_start,actual_end,status,delay_minutes,cancel_reason,lesson_type
S001,C001,I010,A004,B01,2026-05-13,2026-05-13 01:00:00,2026-05-13 00:00:00,2026-05-13 01:00:00,completed,-3,,Navigation
S002,C028,I006,A002,B01,2026-03-04,2026-03-04 03:00:00,2026-03-04 00:59:00,2026-03-04 03:59:00,completed,59,,Cross-Country
S003,C019,I008,A004,B02,2026-01-30,2026-01-30 01:00:00,2026-01-30 00:45:00,2026-01-30 01:45:00,completed,45,,Instrument Flying
S004,C015,I001,A002,B01,2026-01-31,2026-01-31 03:00:00,2026-01-31 00:03:00,2026-01-31 03:03:00,completed,3,,Circuit
S005,C018,I008,A003,B02,2026-03-29,2026-03-29 02:00:00,2026-03-29 00:00:00,2026-03-29 02:00:00,completed,-1,,Cross-Country
S006,C004,I001,A001,B01,2026-03-15,2026-03-15 01:00:00,2026-03-15 00:51:00,2026-03-15 01:51:00,completed,51,,Instrument Flying
S007,C029,I001,A003,B02,2026-05-14,2026-05-14 02:00:00,2026-05-14 00:48:00,2026-05-14 02:48:00,completed,48,,Cross-Country
S008,C022,I008,A003,B01,2026-02-28,2026-02-28 01:00:00,,,cancelled,0,Cadet Illness,Navigation
S009,C024,I006,A001,B01,2025-12-16,2025-12-16 02:00:00,2025-12-16 00:57:00,2025-12-16 02:57:00,completed,57,,Cross-Country
S010,C003,I003,A002,B01,2025-11-23,2025-11-23 01:00:00,2025-11-23 00:21:00,2025-11-23 01:21:00,completed,21,,Navigation
S011,C020,I002,A007,B02,2026-03-09,2026-03-09 01:00:00,2026-03-09 00:30:00,2026-03-09 01:30:00,completed,30,,Instrument Flying
S012,C005,I005,A008,B02,2026-04-26,2026-04-26 01:00:00,2026-04-26 00:02:00,2026-04-26 01:02:00,completed,2,,Circuit
S013,C017,I005,A003,B02,2026-04-27,2026-04-27 01:00:00,2026-04-27 00:10:00,2026-04-27 01:10:00,completed,10,,Cross-Country
S014,C023,I005,A001,B02,2025-11-26,2025-11-26 01:00:00,,,cancelled,0,Aircraft Defect,Navigation
S015,C024,I009,A003,B02,2026-03-03,2026-03-03 03:00:00,2026-03-03 00:33:00,2026-03-03 03:33:00,completed,33,,General Handling
S016,C017,I008,A005,B01,2026-04-21,2026-04-21 03:00:00,,,completed,25,,General Handling
S017,C025,I003,A005,B01,2026-01-21,2026-01-21 03:00:00,2026-01-21 00:00:00,2026-01-21 03:00:00,completed,-9,,Circuit
S018,C018,I001,A006,B01,2026-01-24,2026-01-24 01:00:00,2026-01-24 00:36:00,2026-01-24 01:36:00,completed,36,,Navigation
S019,C029,I006,A004,B01,2025-11-25,2025-11-25 01:00:00,2025-11-25 00:42:00,2025-11-25 01:42:00,completed,42,,Circuit
S020,C030,I004,A003,B01,2026-01-29,2026-01-29 01:00:00,2026-01-29 00:32:00,2026-01-29 01:32:00,completed,32,,Instrument Flying
S021,C026,I004,A005,B01,2025-11-16,2025-11-16 01:00:00,2025-11-16 00:00:00,2025-11-16 01:00:00,completed,-6,,Circuit
S022,C007,I008,A006,B02,2026-03-17,2026-03-17 01:00:00,2026-03-17 00:14:00,2026-03-17 01:14:00,completed,14,,General Handling
S023,C028,I002,A005,B02,2025-12-01,2025-12-01 03:00:00,2025-12-01 00:58:00,2025-12-01 03:58:00,completed,58,,Navigation
S024,C004,I005,A003,B02,2026-05-05,2026-05-05 01:00:00,2026-05-05 00:34:00,2026-05-05 01:34:00,completed,34,,General Handling
S025,C014,I010,A002,B02,2025-12-18,2025-12-18 01:00:00,,,completed,45,,Cross-Country
S026,C022,I004,A006,B02,2026-04-27,2026-04-27 03:00:00,,,cancelled,0,Cadet Illness,Navigation
S027,C024,I005,A005,B02,2026-02-20,2026-02-20 02:00:00,2026-02-20 01:00:00,2026-02-20 03:00:00,completed,60,,Instrument Flying
S028,C022,I007,A003,B02,2026-01-31,2026-01-31 03:00:00,,,cancelled,0,Maintenance,Instrument Flying
S029,C026,I010,A006,B02,2026-01-21,2026-01-21 02:00:00,2026-01-21 00:55:00,2026-01-21 02:55:00,completed,55,,Circuit
S030,C022,I002,A005,B02,2026-04-21,2026-04-21 01:00:00,2026-04-21 00:18:00,2026-04-21 01:18:00,completed,18,,Circuit
S031,C001,I001,A004,B02,2025-12-09,2025-12-09 01:00:00,2025-12-09 00:14:00,2025-12-09 01:14:00,completed,14,,Instrument Flying
S032,C016,I007,A004,B01,2025-11-28,2025-11-28 03:00:00,2025-11-28 00:03:00,2025-11-28 03:03:00,completed,3,,Circuit
S033,C006,I009,A008,B01,2025-12-23,2025-12-23 01:00:00,,,cancelled,0,Weather,Instrument Flying
S034,C022,I009,A006,B02,2025-12-09,2025-12-09 03:00:00,,,cancelled,0,Instructor Unavailable,Cross-Country
S035,C015,I003,A008,B02,2026-03-09,2026-03-09 01:00:00,,,cancelled,0,Maintenance,Cross-Country
S036,C016,I004,A005,B02,2026-04-25,2026-04-25 03:00:00,2026-04-25 00:24:00,2026-04-25 03:24:00,completed,24,,Cross-Country
S037,C003,I003,A003,B01,2026-02-05,2026-02-05 03:00:00,2026-02-05 00:17:00,2026-02-05 03:17:00,completed,17,,Instrument Flying
S038,C011,I009,A008,B02,2026-04-29,2026-04-29 01:00:00,,,cancelled,0,Instructor Unavailable,Cross-Country
S039,C023,I001,A007,B02,2026-05-13,2026-05-13 02:00:00,2026-05-13 00:39:00,2026-05-13 02:39:00,completed,39,,Instrument Flying
S040,C018,I009,A004,B02,2026-03-19,2026-03-19 02:00:00,2026-03-19 00:00:00,2026-03-19 02:00:00,completed,-7,,Instrument Flying
S041,C024,I003,A008,B01,2025-12-06,2025-12-06 03:00:00,2025-12-06 00:40:00,2025-12-06 03:40:00,completed,40,,Navigation
S042,C003,I007,A003,B02,2026-03-29,2026-03-29 01:00:00,2026-03-29 00:31:00,2026-03-29 01:31:00,completed,31,,General Handling
S043,C011,I007,A005,B02,2026-03-11,2026-03-11 01:00:00,2026-03-11 00:59:00,2026-03-11 01:59:00,completed,59,,General Handling
S044,C008,I002,A001,B01,2026-03-12,2026-03-12 01:00:00,,,cancelled,0,Cadet Illness,Circuit
S045,C016,I002,A004,B02,2025-11-16,2025-11-16 02:00:00,,,cancelled,0,Aircraft Defect,Navigation
S046,C025,I003,A005,B01,2025-12-17,2025-12-17 01:00:00,,,cancelled,0,Cadet Illness,Instrument Flying
S047,C013,I004,A002,B01,2026-04-18,2026-04-18 03:00:00,,,cancelled,0,Cadet Illness,Cross-Country
S048,C026,I001,A006,B02,2025-11-26,2025-11-26 02:00:00,,,completed,33,,Instrument Flying
S049,C027,I008,A002,B02,2026-02-11,2026-02-11 03:00:00,,,cancelled,0,Instructor Unavailable,Instrument Flying
S050,C006,I009,A005,B02,2026-01-15,2026-01-15 02:00:00,,,cancelled,0,Cadet Illness,Circuit
S051,C027,I002,A005,B02,2026-03-13,2026-03-13 02:00:00,2026-03-13 00:38:00,2026-03-13 02:38:00,completed,38,,Instrument Flying
S052,C028,I006,A003,B02,2026-03-21,2026-03-21 02:00:00,,,cancelled,0,Maintenance,Cross-Country
S053,C023,I005,A001,B01,2026-04-23,2026-04-23 01:00:00,2026-04-23 00:52:00,2026-04-23 01:52:00,completed,52,,Circuit
S054,C023,I008,A008,B02,2026-05-10,2026-05-10 01:00:00,2026-05-10 00:41:00,2026-05-10 01:41:00,completed,41,,General Handling
S055,C022,I010,A006,B02,2025-12-24,2025-12-24 03:00:00,2025-12-24 01:00:00,2025-12-24 04:00:00,completed,60,,Instrument Flying
S056,C009,I005,A005,B01,2026-04-14,2026-04-14 03:00:00,2026-04-14 00:05:00,2026-04-14 03:05:00,completed,5,,Circuit
